date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2024-06-01,-52.5,-68.3,412421169,0.3252,0
2024-06-01,-52.5,-75.2,412549052,0.4394,0
2024-06-01,-52.5,-75.3,412549052,0.6994,0
2024-06-01,-52.5,-68.8,412549139,0.3502,0
2024-06-01,-52.5,-68.7,412549139,0.3808,0
2024-06-01,-52.5,-68.5,412549139,0.3088,0
2024-06-01,-52.5,-68.6,412549139,0.3852,0
2024-06-01,-52.5,-68.9,412549139,0.2194,0
2024-06-01,-52.5,-68.3,412549139,0.0494,0
2024-06-01,-52.5,-68.4,412549139,0.3819,0
2024-06-01,-52.5,-68.4,412549159,0.4252,0
2024-06-01,-52.5,-68.2,412549159,0.3508,0
2024-06-01,-52.5,-68.3,412549159,0.3005,0
2024-06-01,-52.5,-68.6,412549159,0.4338,0
2024-06-01,-52.5,-68.8,412549159,0.4352,0
2024-06-01,-52.5,-68.5,412549159,0.44,0
2024-06-01,-52.5,-68.7,412549159,0.3508,0
2024-06-01,-52.5,71.2,503526000,0.2666,0
2024-06-01,-52.5,71.3,503526000,0.3677,0
2024-06-01,-52.4,-75.3,412328785,0.8933,0
2024-06-01,-52.4,-75.4,412328785,0.1955,0
2024-06-01,-52.4,-69.2,412420912,0.4752,0
2024-06-01,-52.4,-69.1,412420912,0.4749,0
2024-06-01,-52.4,-69,412420912,0.6738,0
2024-06-01,-52.4,-68,412420912,0.3347,0
2024-06-01,-52.4,-68.1,412420912,0.3833,0
2024-06-01,-52.4,-75.6,412421041,2.6672,0
2024-06-01,-52.4,-67.8,412421169,0.2758,0
2024-06-01,-52.4,-68,412421169,0.38,0
2024-06-01,-52.4,-69.1,412421169,0.4508,0
2024-06-01,-52.4,-69,412421169,0.7905,0
2024-06-01,-52.4,-67.9,412421169,0.5772,0
2024-06-01,-52.4,-69.2,412421169,0.3672,0
2024-06-01,-52.4,-75.3,412549052,0.4616,0
2024-06-01,-52.4,-69.3,412549139,0.4261,0
2024-06-01,-52.4,-68.2,412549139,0.4333,0
2024-06-01,-52.4,-68.9,412549139,0.1138,0
2024-06-01,-52.4,-68.3,412549139,0.5327,0
2024-06-01,-52.4,-69.2,412549139,0.4061,0
2024-06-01,-52.4,-69.1,412549139,0.3847,0
2024-06-01,-52.4,-69,412549139,0.3752,0
2024-06-01,-52.4,-69.1,412549159,0.2983,0
2024-06-01,-52.4,-68.1,412549159,0.6511,0
2024-06-01,-52.4,-68.2,412549159,0.108,0
2024-06-01,-52.4,-69,412549159,0.3986,0
2024-06-01,-52.4,-68.9,412549159,0.5666,0
2024-06-01,-52.4,-69.2,412549159,0.585,0
2024-06-01,-52.4,-69.3,412549159,0.0916,0
2024-06-01,-52.4,-68,412549159,0.0427,0
2024-06-01,-52.4,71.2,503526000,0.2202,0
2024-06-01,-52.4,71.1,503526000,2.428,2.2155
2024-06-01,-52.3,-75.4,412328785,0.6347,0
2024-06-01,-52.3,-68,412420912,0.2225,0
2024-06-01,-52.3,-67.9,412420912,0.6497,0
2024-06-01,-52.3,-69.3,412420912,7.208,0
2024-06-01,-52.3,-67.7,412421169,0.5002,0
2024-06-01,-52.3,-69.3,412421169,4.1122,0
2024-06-01,-52.3,-67.6,412421169,0.5788,0
2024-06-01,-52.3,-69.4,412421169,4.2844,0
2024-06-01,-52.3,-75.4,412549052,1.03,0
2024-06-01,-52.3,-75.5,412549052,0.0536,0
2024-06-01,-52.3,-68.2,412549091,0.1988,0
2024-06-01,-52.3,-69.3,412549139,4.6858,0
2024-06-01,-52.3,-68,412549139,0.2188,0
2024-06-01,-52.3,-68.1,412549139,0.4672,0
2024-06-01,-52.3,-67.9,412549159,0.3272,0
2024-06-01,-52.3,-68,412549159,0.4974,0
2024-06-01,-52.3,-69.3,412549159,7.0522,0
2024-06-01,-52.2,-75.5,412328785,0.3136,0
2024-06-01,-52.2,-75.4,412328785,0.6608,0
2024-06-01,-52.2,-67.8,412420912,0.5605,0
2024-06-01,-52.2,-67.7,412420912,0.1655,0
2024-06-01,-52.2,-67.6,412421169,0.205,0
2024-06-01,-52.2,-67.5,412421169,0.3266,0
2024-06-01,-52.2,-75.5,412549052,0.6483,0
2024-06-01,-52.2,-68.1,412549091,0.9227,0
2024-06-01,-52.2,-68,412549139,0.325,0
2024-06-01,-52.2,-67.9,412549139,0.6052,0
2024-06-01,-52.2,-67.9,412549159,0.2644,0
2024-06-01,-52.2,-67.8,412549159,0.8094,0
2024-06-01,-52.1,-63,224967000,0.1886,0.1886
2024-06-01,-52.1,-63.1,224967000,1.8152,1.8152
2024-06-01,-52.1,-75.5,412328785,0.6505,0
2024-06-01,-52.1,-75.4,412329633,0.3463,0
2024-06-01,-52.1,-75.5,412329633,0.103,0
2024-06-01,-52.1,-75.4,412331035,0.2849,0
2024-06-01,-52.1,-67.7,412420912,0.803,0
2024-06-01,-52.1,-67.6,412420912,0.0291,0
2024-06-01,-52.1,-75.9,412421041,2.2266,0
2024-06-01,-52.1,-67.4,412421169,0.7352,0
2024-06-01,-52.1,-67.5,412421169,0.215,0
2024-06-01,-52.1,-75.6,412549052,0.8372,0
2024-06-01,-52.1,-67.9,412549091,0.0638,0
2024-06-01,-52.1,-68,412549091,0.9313,0
2024-06-01,-52.1,-67.8,412549139,0.5175,0
2024-06-01,-52.1,-67.7,412549139,0.2172,0
2024-06-01,-52.1,-67.7,412549159,0.4155,0
